type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,5997,98:4a:6b:31:4a:10,-54,11,-96,-49,53,11,70120044,83,0,256,0,"[0,0,0,0,0,0,0,0,0,10,-1,10,-3,10,-5,10,-7,9,-9,7,-11,5,-12,4,-13,2,-14,0,-14,-1,-13,-3,-13,-5,-12,-7,-11,-9,-9,-10,-8,-12,-6,-14,-5,-15,-3,-16,0,-16,0,-16,3,-16,5,-16,8,-16,10,-15,13,-13,14,-11,0,0,16,-6,16,-3,17,-1,16,0,16,2,15,4,13,6,12,7,11,9,9,10,8,11,6,12,4,12,2,12,1,13,0,13,-1,12,-3,12,-5,11,-7,10,-8,8,-9,6,-9,4,-10,2,-11,0,-9,0,-9,-2,-8,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,4,-4,8,0,9,6,7,9,2,10,-2,6,-8,0,-11,-5,-9,-10,-4,-11,1,-8,8,-1,12,5,11,11,5,13,-1,9,-9,1,-13,-6,-12,-12,-5,-14,2,-9,10,-1,14,7,13,13,6,15,-2,10,-11,1,-15,0,0,-14,-5,-14,2,-9,11,0,13,7,11,12,4,11,-3,6,-9,0,-11,-5,-8,-9,-2,-9,4,-4,8,0,9,6,6,8,1,7,-3,3,-7,0,-7,-5,-4,-6,0,-6,2,-2,7,1,7,4,4,6,0,5,-2,2,-5,0,0,0,0,0,0]"
CSI_DATA,5998,98:4a:6b:31:4a:10,-53,11,-96,-51,53,11,70135389,83,0,256,0,"[0,0,0,0,0,0,0,0,-7,-8,-6,-9,-4,-11,-2,-11,-1,-13,1,-13,3,-13,5,-12,7,-12,8,-11,10,-10,12,-9,13,-7,14,-6,14,-5,15,-3,15,-1,16,1,16,3,16,5,15,6,15,8,14,10,13,12,12,14,10,16,9,17,6,18,0,0,2,19,0,19,-2,17,-5,16,-6,15,-8,14,-10,13,-10,12,-10,10,-12,9,-13,7,-12,5,-13,4,-12,3,-14,1,-13,-1,-13,-3,-12,-4,-11,-6,-9,-7,-9,-8,-9,-9,-6,-11,-4,-10,-3,-10,-1,-11,0,-10,2,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-8,-2,-9,-7,-6,-9,-1,-9,5,-5,9,2,11,8,8,11,2,10,-5,5,-11,-1,-12,-9,-9,-12,-1,-11,6,-5,12,3,13,10,8,14,0,11,-8,4,-13,-5,-13,-12,-7,-15,1,-11,11,-3,15,7,14,14,6,0,0,10,-11,1,-15,-8,-12,-13,-4,-13,4,-7,10,1,12,8,8,11,1,9,-6,3,-10,-3,-9,-8,-5,-9,1,-7,6,-1,9,4,7,7,3,8,-2,5,-6,0,-8,-4,-6,-7,-2,-6,2,-3,6,1,6,4,4,5,1,0,0,0,0,0,0]"
CSI_DATA,5999,98:4a:6b:31:4a:10,-53,11,-96,-49,53,11,70144359,83,0,256,0,"[0,0,0,0,0,0,0,0,-7,7,-9,6,-10,4,-11,2,-13,0,-12,-1,-13,-3,-12,-4,-11,-6,-9,-9,-7,-11,-6,-13,-5,-13,-3,-14,0,-15,0,-16,2,-14,4,-14,7,-14,9,-13,10,-13,14,-11,15,-8,16,-7,16,-6,18,-4,19,-1,17,0,0,0,16,6,16,8,13,11,12,12,10,13,6,14,4,14,2,15,2,15,0,15,-1,15,-2,14,-4,13,-6,11,-7,10,-9,9,-11,7,-10,7,-11,4,-11,2,-11,0,-11,-1,-11,-3,-9,-4,-9,-5,-6,-7,-5,-8,-3,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-1,-8,3,-5,7,0,9,4,8,10,4,11,-1,8,-6,3,-10,-2,-11,-8,-6,-12,0,-9,7,-4,12,4,11,10,7,13,0,10,-7,3,-12,-3,-11,-11,-8,-13,0,-10,10,-3,14,5,14,13,6,15,-1,11,-10,0,0,-6,-13,-12,-7,-16,1,-10,10,-1,12,4,10,9,4,10,-1,7,-8,1,-10,-6,-8,-8,-2,-8,2,-4,7,0,8,5,7,7,0,7,-2,3,-6,0,-7,-4,-5,-6,-1,-5,2,-2,6,0,6,4,4,5,0,5,-2,0,0,0,0,0,0]"
CSI_DATA,6000,98:4a:6b:31:4a:10,-53,11,-96,-47,53,11,70155391,83,0,256,0,"[0,0,0,0,0,0,0,0,1,-10,3,-10,5,-9,7,-8,9,-7,11,-6,12,-3,13,-1,14,0,13,2,13,5,12,8,10,9,9,11,7,13,5,14,2,15,0,16,-1,16,-3,16,-6,15,-8,14,-11,13,-14,11,-16,9,-17,6,-18,4,-18,0,0,0,-17,-5,-16,-8,-14,-10,-12,-11,-10,-13,-8,-14,-5,-14,-2,-15,0,-14,0,-14,2,-14,5,-13,7,-12,8,-10,9,-8,10,-7,12,-5,12,-3,12,0,11,0,12,2,10,6,8,7,6,8,5,8,3,10,0,9,-1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-3,5,-8,0,-8,-5,-8,-8,-4,-10,0,-8,7,-3,10,2,10,8,8,11,0,10,-5,6,-10,0,-12,-8,-8,-12,-3,-12,4,-7,11,0,13,8,11,13,4,13,-4,8,-10,0,-14,-8,-12,-14,-5,-15,3,-10,11,0,0,7,14,13,7,13,-1,9,-8,2,-12,-5,-10,-10,-5,-11,1,-8,8,-2,10,4,9,8,4,8,-1,6,-6,1,-8,-3,-8,-8,-3,-8,0,-5,5,-1,8,2,7,5,3,7,0,5,-4,2,-6,0,-5,-5,-3,-6,0,0,0,0,0,0,0]"
CSI_DATA,6001,98:4a:6b:31:4a:10,-53,11,-96,-51,53,11,70164275,83,0,256,0,"[0,0,0,0,0,0,0,0,-3,11,-4,11,-6,10,-8,9,-9,8,-11,6,-12,5,-13,3,-14,1,-14,-1,-14,-3,-14,-5,-14,-7,-13,-8,-11,-9,-9,-11,-8,-13,-8,-14,-5,-15,-4,-16,-2,-16,0,-17,3,-17,5,-17,7,-17,10,-16,12,-15,14,-14,0,0,16,-8,17,-7,17,-4,18,-3,17,-1,16,1,15,4,14,6,13,7,13,7,12,9,9,9,8,10,7,12,6,13,3,12,2,13,1,13,-1,13,-4,12,-5,11,-7,10,-7,9,-9,7,-9,6,-10,3,-10,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,3,-5,7,-1,9,5,8,9,4,10,-1,8,-7,2,-11,-4,-10,-10,-5,-11,1,-9,8,-2,12,5,10,11,5,12,-2,9,-9,2,-13,-6,-12,-11,-5,-13,3,-9,11,-1,14,8,12,14,5,14,-5,9,-12,0,-14,0,0,-13,-4,-13,6,-6,12,0,13,9,10,11,2,11,-6,5,-11,-2,-10,-8,-6,-10,0,-8,6,-2,9,5,8,8,4,9,0,5,-7,0,-8,-4,-7,-6,-2,-7,2,-5,6,0,7,4,5,5,2,5,-1,3,-5,-1,-6,0,0,0,0,0,0]"
CSI_DATA,6002,98:4a:6b:31:4a:10,-53,11,-96,-47,53,11,70172598,83,0,256,0,"[0,0,0,0,0,0,0,0,9,-4,10,-2,10,0,10,1,12,3,11,6,9,8,8,8,7,11,5,11,3,13,1,14,0,14,-2,14,-5,14,-7,12,-8,12,-10,10,-11,9,-14,8,-15,6,-16,5,-17,2,-17,0,-16,-3,-17,-5,-16,-8,-15,-10,0,0,-10,-14,-9,-15,-7,-16,-3,-16,-1,-16,0,-16,2,-15,4,-15,5,-14,8,-11,8,-10,10,-9,10,-8,11,-5,13,-5,12,-2,12,0,11,0,11,2,11,4,9,6,8,8,8,9,4,10,2,9,0,9,0,10,-2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,8,0,8,-4,3,-8,0,-9,-6,-8,-9,-2,-9,3,-7,8,0,11,6,9,10,4,11,-2,7,-9,0,-12,-6,-10,-11,-5,-13,2,-8,9,-1,13,6,10,13,5,13,-3,9,-10,0,-15,-8,-12,-13,-5,-13,4,0,0,0,16,7,12,12,5,13,-3,8,-8,0,-12,-7,-9,-10,-3,-10,3,-5,8,0,9,6,7,8,2,8,-3,4,-7,-1,-8,-5,-6,-8,0,-7,3,-3,7,0,8,5,4,7,0,6,-2,2,-5,0,-6,-3,-3,-5,0,0,0,0,0,0,0]"
CSI_DATA,6003,98:4a:6b:31:4a:10,-53,11,-96,-47,53,11,70188642,83,0,256,0,"[0,0,0,0,0,0,0,0,-8,6,-9,5,-9,4,-11,1,-11,0,-13,-2,-11,-3,-12,-5,-10,-8,-9,-8,-9,-9,-8,-12,-7,-13,-6,-14,-3,-14,0,-14,0,-15,2,-15,4,-15,6,-15,8,-15,9,-13,11,-12,13,-11,15,-9,17,-7,18,-5,18,-3,0,0,18,2,16,3,16,7,14,8,14,10,11,11,9,11,8,12,8,12,6,13,4,13,2,13,0,13,-1,12,-1,12,-4,12,-6,11,-7,10,-7,8,-8,8,-9,6,-11,3,-11,2,-11,1,-10,0,-9,-2,-8,-4,-8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-2,-8,1,-7,6,0,9,3,8,9,5,9,-1,8,-6,2,-9,-4,-10,-9,-7,-11,0,-8,8,-1,11,5,10,10,5,12,-1,9,-8,2,-13,-6,-11,-12,-4,-12,3,-7,11,0,14,8,11,14,4,14,-4,8,-11,0,0,-9,-11,-12,-2,-13,4,-5,11,0,12,8,8,11,0,9,-6,4,-9,-3,-8,-8,-5,-9,0,-7,6,0,9,3,8,8,3,7,-1,6,-6,0,-7,-5,-6,-7,-2,-6,1,-3,5,0,5,4,4,6,0,4,-2,3,-4,0,0,0,0,0,0]"
CSI_DATA,6004,98:4a:6b:31:4a:10,-53,11,-96,-50,53,11,70197957,83,0,256,0,"[0,0,0,0,0,0,0,0,0,10,-1,10,-3,10,-5,10,-7,8,-9,7,-11,6,-12,3,-13,2,-14,0,-13,-1,-12,-3,-12,-6,-11,-8,-10,-10,-8,-11,-6,-13,-6,-13,-4,-15,-1,-14,0,-15,1,-15,4,-16,7,-15,8,-15,11,-14,13,-11,15,-9,0,0,18,-4,17,0,17,0,17,1,16,4,14,6,12,7,10,9,9,10,7,12,5,13,3,13,1,13,0,13,0,11,-2,12,-4,11,-6,10,-6,9,-8,8,-10,6,-11,4,-9,1,-10,0,-10,0,-9,-3,-8,-4,-7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,3,-3,7,0,8,5,7,9,2,9,-2,7,-7,1,-9,-5,-9,-9,-3,-10,1,-7,8,-2,12,3,11,9,7,11,0,8,-7,2,-11,-4,-11,-11,-5,-13,0,-9,9,-2,13,6,12,11,6,13,-1,10,-9,2,-14,0,0,-11,-7,-14,0,-10,8,-2,12,4,11,10,5,11,-1,7,-7,1,-9,-3,-9,-7,-4,-8,0,-4,6,0,9,4,6,7,2,8,-1,4,-5,0,-7,-3,-5,-6,-1,-6,1,-3,5,0,7,2,5,4,1,4,0,2,-3,0,0,0,0,0,0]"
CSI_DATA,6005,98:4a:6b:31:4a:10,-54,11,-96,-48,53,11,70207205,83,0,256,0,"[0,0,0,0,0,0,0,0,-4,10,-6,9,-8,7,-10,5,-11,3,-12,1,-12,0,-12,-2,-11,-5,-11,-7,-10,-10,-8,-11,-6,-12,-4,-13,-1,-14,0,-15,2,-15,5,-14,7,-13,9,-12,11,-11,13,-9,15,-7,17,-4,17,-1,18,0,18,3,17,6,0,0,13,11,11,14,9,15,5,15,3,16,0,15,-1,15,-3,14,-5,13,-7,11,-9,11,-10,9,-11,7,-12,5,-11,2,-12,0,-12,0,-11,-2,-11,-5,-9,-6,-8,-8,-6,-10,-4,-10,-1,-11,0,-10,1,-10,3,-9,6,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-7,5,-3,9,1,9,7,7,10,2,10,-3,7,-8,0,-11,-5,-10,-10,-5,-11,0,-10,8,-3,11,3,11,10,7,12,0,11,-7,4,-12,-3,-12,-10,-9,-13,0,-11,7,-6,12,2,14,10,10,15,2,14,-6,0,0,0,-14,-9,-11,-13,-3,-11,4,-7,10,0,11,6,9,10,3,11,-3,7,-8,0,-10,-5,-8,-9,-2,-9,2,-4,7,0,9,4,6,7,2,8,-2,4,-5,0,-8,-3,-5,-6,-2,-6,1,-4,4,-1,5,2,5,4,3,0,0,0,0,0,0]"
CSI_DATA,6006,98:4a:6b:31:4a:10,-56,11,-96,-49,56,11,70215977,83,0,256,0,"[0,0,0,0,0,0,0,0,-8,6,-9,5,-10,4,-11,2,-12,0,-12,-2,-12,-4,-11,-6,-10,-8,-10,-8,-8,-10,-6,-12,-5,-12,-3,-14,-1,-14,0,-14,2,-14,4,-14,6,-14,7,-13,9,-12,11,-11,13,-10,15,-8,16,-7,17,-5,18,-3,18,-1,0,0,18,4,16,7,14,8,14,10,11,10,10,12,8,12,6,12,4,14,3,14,1,13,0,13,-2,13,-3,12,-4,12,-6,10,-8,10,-8,8,-10,6,-10,6,-10,4,-11,1,-10,0,-10,-2,-10,-2,-9,-4,-8,-6,-6,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-2,-8,2,-6,6,-2,9,4,8,8,5,10,0,8,-6,3,-10,-3,-10,-9,-6,-12,0,-10,6,-4,11,3,11,10,6,12,0,10,-8,3,-12,-5,-12,-12,-6,-13,2,-10,10,-2,14,6,13,13,6,14,-2,10,-11,0,0,-6,-13,-13,-6,-12,3,-8,10,0,12,6,10,10,3,10,-4,6,-9,0,-10,-6,-7,-9,-1,-7,4,-3,8,2,8,6,5,8,0,6,-4,1,-6,-2,-7,-6,-4,-7,0,-4,4,0,6,2,6,4,3,5,0,4,-3,0,0,0,0,0,0]"
CSI_DATA,6007,98:4a:6b:31:4a:10,-53,11,-96,-51,53,11,70230642,83,0,256,0,"[0,0,0,0,0,0,0,0,9,5,8,7,7,10,6,11,2,12,1,12,-2,13,-5,12,-7,12,-8,11,-12,9,-12,7,-14,5,-15,2,-15,1,-15,-1,-15,-4,-14,-7,-14,-9,-12,-12,-9,-12,-8,-14,-6,-16,-3,-18,-1,-19,2,-16,5,-19,8,-17,0,0,12,-14,14,-11,14,-9,16,-6,16,-3,15,-1,15,1,14,4,14,6,12,9,11,9,9,11,7,11,6,13,3,13,2,14,0,13,-2,12,-5,11,-7,11,-9,9,-10,7,-10,5,-10,3,-11,1,-10,-1,-10,-3,-8,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,8,4,9,-1,9,-6,3,-10,-3,-10,-7,-7,-11,-1,-10,4,-6,9,1,12,7,10,12,5,13,-4,8,-10,1,-13,-6,-12,-12,-5,-12,3,-11,8,-2,13,6,13,12,8,15,0,12,-11,3,-15,-4,-14,0,0,-14,1,-12,9,-3,14,5,14,12,8,13,0,11,-7,4,-11,-3,-10,-8,-7,-10,1,-8,6,-3,10,2,8,7,5,7,0,7,-5,1,-8,-3,-7,-6,-4,-8,0,-6,4,-2,7,0,7,5,4,7,1,6,-2,3,-5,0,0,0,0,0,0]"
CSI_DATA,6008,98:4a:6b:31:4a:10,-53,11,-96,-49,53,11,70238829,83,0,256,0,"[0,0,0,0,0,0,0,0,7,-6,8,-5,10,-4,11,-2,12,0,13,0,12,2,12,4,12,6,10,8,10,10,7,11,7,12,5,13,3,14,2,15,0,16,0,15,-2,16,-4,14,-6,15,-9,14,-11,12,-13,12,-14,10,-16,8,-16,6,-17,4,0,0,-18,0,-17,-1,-17,-4,-16,-5,-15,-8,-12,-9,-11,-11,-9,-11,-8,-12,-6,-13,-5,-13,-3,-13,-1,-13,0,-14,0,-12,1,-13,4,-11,5,-11,7,-10,9,-8,10,-6,10,-5,10,-3,10,-1,11,0,11,1,9,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,-2,5,-7,0,-9,-5,-8,-9,-4,-10,1,-8,8,-1,11,4,10,10,5,11,-1,9,-9,1,-12,-5,-11,-10,-5,-13,2,-7,9,0,14,7,10,14,4,14,-3,7,-12,0,-14,-8,-12,-14,-3,-14,5,-7,12,0,0,10,11,14,3,12,-6,5,-11,-3,-13,-9,-7,-11,0,-9,6,-2,10,3,10,8,5,9,0,5,-7,0,-9,-5,-6,-9,-3,-7,2,-4,6,0,8,4,5,7,1,6,-3,2,-5,0,-6,-4,-4,-5,0,-5,1,-2,4,0,0,0,0,0,0]"
CSI_DATA,6009,98:4a:6b:31:4a:10,-53,11,-96,-49,53,11,70250111,83,0,256,0,"[0,0,0,0,0,0,0,0,0,10,0,10,-3,11,-5,10,-7,9,-9,7,-11,6,-12,4,-13,2,-14,0,-13,-1,-13,-3,-13,-5,-12,-8,-10,-9,-9,-11,-7,-13,-5,-14,-3,-15,-1,-16,0,-16,2,-16,5,-16,8,-15,10,-15,13,-13,15,-11,16,-9,0,0,17,-3,17,0,17,2,16,3,15,6,13,8,12,9,10,10,9,12,7,12,5,13,2,14,0,13,0,13,-2,13,-4,12,-5,10,-7,9,-9,7,-10,6,-10,4,-11,1,-11,0,-10,0,-10,-2,-9,-4,-7,-5,-6,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,4,-3,8,1,9,6,7,10,2,10,-3,6,-8,0,-10,-5,-9,-10,-4,-11,1,-8,8,-2,12,4,11,10,6,13,0,10,-8,2,-12,-5,-12,-11,-6,-14,0,-10,9,-2,14,5,13,12,7,15,0,12,-9,4,-14,0,0,-12,-8,-15,0,-11,8,-3,12,4,12,10,6,12,-1,9,-7,1,-10,-3,-10,-9,-4,-10,1,-6,7,0,9,3,7,8,3,8,-1,5,-6,0,-7,-3,-6,-6,-3,-7,1,-4,5,0,7,2,5,5,2,6,0,4,-3,0,0,0,0,0,0]"
CSI_DATA,6010,98:4a:6b:31:4a:10,-53,11,-96,-50,53,11,70308149,83,0,256,0,"[0,0,0,0,0,0,0,0,-2,-9,0,-10,0,-11,2,-11,5,-9,7,-9,10,-8,11,-5,12,-3,13,-1,14,0,13,2,13,4,12,6,11,9,10,11,7,13,6,13,4,16,1,15,0,15,-3,16,-6,15,-9,15,-10,13,-13,11,-15,9,-17,7,0,0,-19,0,-18,-2,-16,-5,-16,-6,-13,-9,-10,-11,-8,-12,-6,-13,-4,-13,-2,-14,0,-13,0,-13,2,-13,5,-12,6,-10,7,-9,10,-7,10,-5,11,-3,11,-1,11,0,10,2,9,4,8,5,7,7,5,8,3,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-5,0,-8,-3,-8,-7,-5,-10,0,-9,5,-4,9,0,11,6,9,10,4,11,-2,7,-8,0,-12,-5,-11,-10,-6,-12,1,-9,9,-2,12,5,13,11,6,14,0,10,-8,3,-14,-4,-13,-10,-9,-14,0,-12,9,-5,14,0,0,10,10,14,1,12,-6,6,-11,-2,-13,-7,-9,-11,-2,-10,4,-5,9,0,10,6,7,9,1,7,-3,4,-8,0,-7,-5,-6,-8,-1,-7,2,-3,6,0,7,3,6,7,1,6,-1,4,-5,0,-6,-2,-4,-5,-2,-5,0,0,0,0,0,0,0]"
CSI_DATA,6011,98:4a:6b:31:4a:10,-54,11,-96,-50,53,11,70318673,83,0,256,0,"[0,0,0,0,0,0,0,0,-6,8,-7,7,-9,6,-10,4,-11,2,-12,0,-12,-1,-13,-2,-12,-5,-11,-6,-10,-9,-9,-10,-7,-11,-6,-13,-4,-14,-2,-14,0,-15,0,-15,2,-15,4,-15,7,-14,9,-13,11,-12,13,-11,14,-10,16,-8,17,-6,18,-3,0,0,18,0,17,4,16,6,15,7,13,8,11,10,9,11,8,12,6,13,4,13,2,13,0,14,0,13,-1,13,-2,12,-4,11,-6,10,-7,10,-9,8,-9,6,-10,5,-11,2,-11,0,-10,0,-9,-1,-9,-3,-8,-5,-7,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-8,3,-4,8,0,9,6,8,10,3,10,-2,7,-8,0,-11,-5,-9,-10,-4,-12,1,-8,9,0,12,6,11,12,4,12,-2,8,-10,0,-13,-7,-11,-13,-4,-13,4,-8,11,0,15,8,11,14,4,14,-5,8,-13,0,0,-9,-12,-14,-3,-13,5,-6,11,0,12,8,8,11,1,10,-5,4,-10,-1,-10,-7,-6,-9,0,-6,5,-1,9,3,8,7,4,8,0,5,-5,1,-7,-3,-6,-6,-2,-7,1,-4,5,0,6,3,5,5,2,5,0,3,-4,0,0,0,0,0,0]"
CSI_DATA,6012,98:4a:6b:31:4a:10,-53,11,-96,-51,53,11,70318997,83,0,256,0,"[0,0,0,0,0,0,0,0,7,8,6,9,4,11,2,12,0,12,-2,13,-4,12,-6,11,-9,11,-10,9,-12,8,-13,6,-13,5,-14,3,-15,1,-15,-1,-15,-3,-15,-5,-15,-7,-13,-9,-13,-10,-11,-12,-10,-14,-8,-15,-6,-17,-4,-18,-2,-18,1,-19,0,0,7,-18,9,-16,10,-14,12,-13,12,-11,13,-9,14,-7,14,-5,15,-3,15,-1,14,1,14,2,13,3,12,5,11,7,10,8,9,9,7,10,5,12,4,12,2,12,0,12,-1,12,-3,10,-5,9,-6,8,-7,7,-9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,8,2,9,7,6,10,2,9,-4,6,-10,0,-11,-7,-9,-11,-4,-11,3,-7,9,-1,12,7,11,12,4,13,-3,8,-10,0,-13,-8,-11,-13,-4,-13,5,-8,12,1,14,9,11,15,4,14,-5,8,-13,-1,-16,-10,-12,0,0,-14,7,-7,13,2,15,10,10,13,2,11,-6,6,-11,-3,-12,-9,-7,-11,-1,-8,6,-3,10,4,9,8,5,9,-2,6,-7,2,-8,-4,-7,-7,-3,-8,2,-5,6,-1,8,3,6,6,3,6,-1,4,-6,1,-6,-2,-5,0,0,0,0,0,0]"
CSI_DATA,6013,98:4a:6b:31:4a:10,-56,11,-96,-49,56,11,70346335,83,0,256,0,"[0,0,0,0,0,0,0,0,-5,9,-6,8,-8,7,-10,6,-11,4,-12,2,-12,0,-13,-1,-13,-3,-12,-5,-11,-7,-10,-9,-10,-10,-8,-12,-6,-13,-4,-14,-2,-14,-1,-15,1,-16,3,-16,6,-15,8,-14,10,-14,12,-12,13,-12,16,-9,17,-7,18,-5,0,0,18,0,18,2,16,5,15,6,14,8,12,10,11,11,8,12,7,12,5,13,4,14,2,13,0,13,-1,13,-3,12,-4,12,-6,10,-7,10,-8,8,-10,6,-10,5,-11,3,-10,1,-10,0,-10,-2,-9,-4,-8,-5,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,-6,5,-3,8,2,8,7,6,10,1,10,-4,5,-9,0,-11,-6,-8,-11,-2,-10,4,-7,10,0,12,7,9,12,3,12,-4,6,-10,0,-13,-8,-10,-12,-2,-12,5,-6,12,2,14,9,10,14,2,13,-6,7,-12,0,0,-10,-10,-14,-2,-12,6,-5,11,2,12,9,8,11,0,8,-5,4,-10,-2,-10,-9,-5,-9,0,-6,6,-2,8,3,8,7,4,8,-2,5,-5,0,-8,-3,-6,-6,-4,-6,2,-4,5,0,6,2,5,5,2,6,-1,3,-4,0,0,0,0,0,0]"
CSI_DATA,6014,98:4a:6b:31:4a:10,-53,11,-96,-47,53,11,70356453,83,0,256,0,"[0,0,0,0,0,0,0,0,0,-10,3,-10,5,-10,6,-9,8,-8,9,-6,11,-4,12,-2,13,0,13,1,13,4,11,7,11,8,9,9,8,12,6,12,3,14,1,15,1,15,0,15,-5,16,-7,16,-8,13,-10,10,-13,10,-16,8,-17,5,-18,3,0,0,-16,0,-16,-5,-16,-7,-15,-8,-10,-11,-9,-13,-7,-14,-5,-13,-4,-13,0,-13,0,-15,3,-12,5,-12,5,-11,7,-10,8,-8,9,-7,11,-6,11,-3,11,-1,10,1,10,3,8,5,8,7,7,7,5,8,3,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-3,4,-8,0,-8,-3,-7,-8,-3,-8,1,-8,7,-2,10,3,11,8,7,11,0,9,-6,4,-10,-2,-11,-8,-8,-11,-1,-11,6,-6,11,0,13,7,10,13,1,11,-7,6,-11,-1,-13,-9,-9,-14,-4,-14,6,-8,12,0,0,7,10,13,4,13,-5,8,-10,0,-12,-6,-9,-10,-3,-9,3,-6,8,0,9,6,8,8,2,8,-3,6,-7,0,-8,-4,-7,-7,-2,-8,2,-4,7,0,7,4,6,7,2,7,-1,3,-6,0,-6,-2,-4,-5,-2,-5,0,0,0,0,0,0,0]"
CSI_DATA,6015,98:4a:6b:31:4a:10,-53,11,-96,-48,53,11,70366746,83,0,256,0,"[0,0,0,0,0,0,0,0,9,5,8,7,6,8,5,10,3,11,2,12,0,13,-1,12,-3,11,-5,11,-8,11,-9,10,-9,10,-12,9,-11,8,-13,5,-14,3,-14,1,-16,0,-14,-2,-15,-3,-15,-5,-14,-7,-14,-9,-14,-11,-11,-13,-11,-14,-8,-17,0,0,-2,-18,0,-18,0,-17,3,-16,5,-15,6,-13,8,-12,10,-11,11,-10,11,-9,11,-7,11,-6,12,-4,13,-2,12,0,13,0,11,2,11,4,10,5,9,6,8,8,6,9,5,10,4,10,1,11,0,10,0,10,-2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,8,3,9,-1,6,-7,1,-9,-4,-10,-9,-5,-11,0,-9,6,-3,11,3,10,11,6,11,0,10,-7,3,-11,-5,-11,-11,-6,-13,1,-8,9,-1,12,7,11,12,5,14,-2,8,-11,0,-13,-8,-11,-14,-4,0,0,-7,12,0,13,8,11,12,2,11,-4,6,-9,0,-10,-6,-7,-10,0,-8,5,-3,9,2,8,7,5,10,0,5,-5,1,-8,-3,-6,-6,-2,-8,1,-5,5,0,8,3,6,5,1,6,-1,3,-4,0,-6,-2,-4,-4,-2,0,0,0,0,0,0]"
CSI_DATA,6016,98:4a:6b:31:4a:10,-53,11,-96,-48,53,11,70375275,83,0,256,0,"[0,0,0,0,0,0,0,0,-5,-9,-4,-10,-2,-11,0,-11,2,-12,3,-11,6,-11,8,-10,11,-8,11,-5,12,-3,13,-2,15,0,13,0,15,3,14,5,11,7,12,10,11,11,9,13,8,13,6,17,3,17,1,16,0,18,-2,18,-5,17,-9,16,0,0,-13,13,-14,11,-14,8,-16,5,-15,4,-15,0,-15,-1,-14,-3,-13,-4,-13,-6,-12,-7,-11,-8,-9,-10,-6,-11,-5,-12,-3,-11,-1,-12,0,-11,1,-12,4,-11,6,-10,7,-8,8,-7,9,-6,9,-4,10,-2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-7,0,-9,-5,-7,-8,-2,-9,1,-8,8,-1,11,4,10,9,6,11,0,8,-5,3,-11,-3,-11,-11,-7,-11,0,-9,7,-5,11,3,12,10,7,11,0,11,-8,3,-11,-4,-11,-11,-9,-15,0,-11,9,-3,15,4,13,0,0,14,0,11,-8,5,-14,-3,-12,-10,-7,-11,0,-9,5,-2,10,4,10,9,5,9,0,7,-6,0,-9,-3,-7,-7,-3,-8,1,-5,5,0,8,3,6,7,2,7,0,4,-4,0,-6,-2,-5,-6,-2,-5,0,-4,3,0,4,0,0,0,0,0,0]"
